candidate_id,threshold_sensitivity,in_sample_vs_holdout_sign_reversal,walk_forward_cross_fold_sign_consistency,aligned_horizon_count,horizon_dependence,small_sample_fragility,multiple_testing_family_size,bonferroni_note,promotion_guard,non_actionable_disclaimer
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_cross_sectional_rank,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_20d__review_queue_conditioned__readiness_winsorized_zscore,not_boundary_sensitive,false,1.0,2,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_20d__risk_filtered,not_boundary_sensitive,false,0.5,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,false,0.5,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_cross_sectional_rank,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_20d__risk_filtered__readiness_winsorized_zscore,not_boundary_sensitive,false,1.0,3,multi_horizon,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered,not_boundary_sensitive,false,0.5,0,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,false,0.5,0,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_cross_sectional_rank,not_boundary_sensitive,false,0.5,2,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__downside_risk_filtered__readiness_winsorized_zscore,not_boundary_sensitive,false,0.5,2,multi_horizon,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__horizon_specific,not_boundary_sensitive,true,0.5,1,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_zscore,not_boundary_sensitive,true,0.5,1,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_cross_sectional_rank,not_boundary_sensitive,true,1.0,1,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__horizon_specific__readiness_winsorized_zscore,not_boundary_sensitive,false,0.5,1,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered,not_boundary_sensitive,true,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,true,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_cross_sectional_rank,not_boundary_sensitive,true,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__liquidity_filtered__readiness_winsorized_zscore,not_boundary_sensitive,true,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned,not_boundary_sensitive,false,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_zscore,not_boundary_sensitive,false,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_cross_sectional_rank,not_boundary_sensitive,false,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__review_queue_conditioned__readiness_winsorized_zscore,readiness_near_strong_ic_boundary,false,0.5,1,single_horizon_only,fragile,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__risk_filtered,not_boundary_sensitive,true,0.5,0,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_zscore,not_boundary_sensitive,true,0.5,0,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_cross_sectional_rank,not_boundary_sensitive,true,1.0,1,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
alpha_vol_adj_momentum_5d__risk_filtered__readiness_winsorized_zscore,not_boundary_sensitive,true,0.5,0,single_horizon_only,adequate,360,family_wise_alpha_requires_scaling_by_360_no_ready_promoted_on_single_uncorrected_test,ready_requires_base_precondition_plus_oos_plus_walk_forward_all_true,research_only
